X,Y,FID,objectid,provincia,municipio,localidad,codigo_po,direccion,margen,longitud,latitud,precio_gas,precio_g_1,precio_g_2,precio_bio,precio_nue,precio_b_1,f__ester_,f__bioalco,precio_g_3,precio_g_4,precio_g_5,precio_g_6,rotulo,tipo_venta,rem_,horario,horario00,z,fecha
-5.927,43.566361,30,6211578,ASTURIAS,AVILÉS,AVILES,33400,"AVENIDA DE LUGO, 24",D,-5.927,43.566361,1.399000,1.309,0, ,1.389000, , , ,1.539000, , , ,REPSOL,P,OM,L-D: 07:00-23:00,L-D: 07:00-23:00, ,2019/04/29 00:00:00+00
-5.92925,43.575028,31,6211579,ASTURIAS,AVILÉS,AVILES,33400,"AVENIDA LUGO, 110",N,-5.92925,43.575028,1.349000,1.269,0, ,1.359000, , , ,1.419000, , , ,AVIA,P,dm,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-6.218333,43.286861,32,6211580,ASTURIAS,BELMONTE DE MIRANDA,BELMONTE,33830,CARRETERA CTRA DEL PUERTO S/N KM. 1,I,-6.218333,43.286861,1.408000,1.318,0, , , , , , , , , ,GALP,P,dm,L-D: 08:00-21:00,L-D: 08:00-21:00, ,2019/04/29 00:00:00+00
-5.567028,43.321,33,6211581,ASTURIAS,BIMENES,SAN JULIAN,33527,"CARRETERA AS-251 KM. 14,2",N,-5.567028,43.321,1.399000,1.299,0, ,1.379000, , , , , , , ,REPSOL,P,OM,L-D: 07:00-22:00,L-D: 07:00-22:00, ,2019/04/29 00:00:00+00
-6.815833,43.431056,34,6211582,ASTURIAS,BOAL,BOAL,33720,"CALLE ISIDORO FONTANA, S/N",D,-6.815833,43.431056,1.389000,1.289,1.022, ,1.369000, , , , , , , ,CAMPSA,P,OM,S-D: 24H,S-D: 24H, ,2019/04/29 00:00:00+00
-4.795833,43.297944,35,6211583,ASTURIAS,CABRALES,ARENAS (LAS),33554,"CARRETERA AS-114 KM. 32,80",D,-4.795833,43.297944,1.389000,1.299,0.895, , , , , ,1.489000, , , ,ESC-PETROLEOS,P,dm,L-D: 08:00-22:00,L-D: 08:00-22:00, ,2019/04/29 00:00:00+00
-5.119889,43.350889,36,6211584,ASTURIAS,CANGAS DE ONÍS,CANGAS DE ONIS,33550,"AVENIDA COVADONGA, S/N",I,-5.119889,43.350889,1.399000,1.329,1.019, ,1.409000, , , ,1.529000, , , ,REPSOL,P,dm,L: 06:00-22:00,L: 06:00-22:00, ,2019/04/29 00:00:00+00
-5.124972,43.354111,37,6211585,ASTURIAS,CANGAS DE ONÍS,CANGAS DE ONIS,33550,"CARRETERA AS-114 KM. 1,100",I,-5.124972,43.354111,1.389000,1.299,0, ,1.389000, , , ,1.489000, , , ,ESC-PETROLEOS,P,dm,L-D: 06:00-23:00,L-D: 06:00-23:00, ,2019/04/29 00:00:00+00
-5.18275,43.3885,38,6211586,ASTURIAS,CANGAS DE ONÍS,COVIELLA,33547,"ACCESO CRA. NACIONAL 625, 0",D,-5.18275,43.3885,1.409000,1.329,1.019, ,1.419000, , , ,1.529000, , , ,GALP ARRIONDAS,P,OM,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-6.545111,43.183417,39,6211587,ASTURIAS,CANGAS DEL NARCEA,CANGAS DEL NARCEA,33800,"AVENIDA ALEJANDRO CASONA, 35",N,-6.545111,43.183417, ,1.238,0, , , , , , , , , ,"FLOREZ COSMEN, S.L.",P,dm,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-6.546389,43.180833,40,6211588,ASTURIAS,CANGAS DEL NARCEA,CANGAS DEL NARCEA,33800,"AVENIDA DE OVIEDO, 3",D,-6.546389,43.180833,1.418000,1.298,0.9, ,1.388000, , , ,1.568000, , , ,REPSOL,P,dm,L-D: 06:00-23:00,L-D: 06:00-23:00, ,2019/04/29 00:00:00+00
-6.499444,43.243083,41,6211589,ASTURIAS,CANGAS DEL NARCEA,TEBONGO,33816,"CARRETERA CORNELLANA-PUERTO DE CERREDO KM. 15,4",D,-6.499444,43.243083,1.398000,1.298,0.88, ,1.378000, , , ,1.548000, , , ,CEPSA,P,dm,L-D: 06:30-22:30,L-D: 06:30-22:30, ,2019/04/29 00:00:00+00
-5.852278,43.554167,42,6211590,ASTURIAS,CARREÑO,BARCA (LA),33438,"LUGAR LA BARCA, S/N",N,-5.852278,43.554167, ,1.239,0, , , , , , , , , ,ESOIL,P,dm,L-V: 09:00-13:00 y 15:30-19:00,L-V: 09:00-13:00 y 15:30-19:00, ,2019/04/29 00:00:00+00
-5.7545,43.5785,43,6211591,ASTURIAS,CARREÑO,PERLORA,33439,"CARRETERA AS-329 KM. 4,1",I,-5.7545,43.5785,1.419000,1.324,0, ,1.394000, , , , , , , ,GALP,P,OM,"L-V: 07:00-22:00; S-D: 08:00-22:00","L-V: 07:00-22:00; S-D: 08:00-22:00", ,2019/04/29 00:00:00+00
-5.819694,43.514361,44,6211592,ASTURIAS,CARREÑO,TAM ON,33469,"AUTOVIA A-8 KM. 401,5",D,-5.819694,43.514361,1.439000,1.349,0, ,1.429000, , , ,1.559000, , , ,PETRONOR,P,OM,L-D: 06:00-23:00,L-D: 06:00-23:00, ,2019/04/29 00:00:00+00
-5.817333,43.511278,45,6211593,ASTURIAS,CARREÑO,TAM ON,33469,"AUTOPISTA A-8 KM. 401,5",I,-5.817333,43.511278,1.439000,1.349,0, ,1.429000, , , ,1.559000, , , ,PETRONOR,P,OM,L-D: 06:00-23:00,L-D: 06:00-23:00, ,2019/04/29 00:00:00+00
-5.834667,43.555917,46,6211594,ASTURIAS,CARREÑO,CARREÑO,33438,"VÍA AS-110, 7",N,-5.834667,43.555917,1.399000,1.319,0, ,1.409000, , , ,1.541000, , , ,BP - CARREÑO,P,dm,L: 07:00-23:00,L: 07:00-23:00, ,2019/04/29 00:00:00+00
-5.834667,43.55,47,6211595,ASTURIAS,CARREÑO,CARREÑO,33438,"POLIGONO DE TABAZA II, PARCELA 28 (AS-110 km 7,8)",D,-5.834667,43.55,1.349000,1.269,0, ,1.359000, , , , , , , ,AVIA,P,dm,L-D: 06:30-22:30,L-D: 06:30-22:30, ,2019/04/29 00:00:00+00
-5.767861,43.554833,48,6211596,ASTURIAS,CARREÑO,CARREÑO,33438,"CARRETERA AS-19 KM. 9,600",D,-5.767861,43.554833,1.394000,1.309,1.009, ,1.369000, , , ,1.504000, , , ,CEPSA,P,dm,L-D: 06:30-22:30,L-D: 06:30-22:30, ,2019/04/29 00:00:00+00
-5.959528,43.571167,49,6211597,ASTURIAS,CASTRILLÓN,SALINAS,33400,"AVENIDA CAMPON EL, 16",D,-5.959528,43.571167,1.318000,1.178,0, ,1.278000, , , ,1.388000, , , ,GF,P,dm,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-5.959278,43.57125,50,6211598,ASTURIAS,CASTRILLÓN,SALINAS,33400,"AVENIDA CAMPON - SALINAS, 16",D,-5.959278,43.57125,1.399000,1.319,0, ,1.399000, , , ,1.539000, , , ,REPSOL,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00, ,2019/04/29 00:00:00+00
-5.981028,43.557306,51,6211599,ASTURIAS,CASTRILLÓN,PIEDRAS BLANCAS,33450,"AVDA. PRINCIPAL, 37",N,-5.981028,43.557306,1.339000,1.199,0, , , , , ,1.419000, , , ,A. G.,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00, ,2019/04/29 00:00:00+00
-7.019639,43.540361,52,6211600,ASTURIAS,CASTROPOL,FIGUERAS,33794,"CALLE LAGUNA DE LA, 1",I,-7.019639,43.540361,1.359000,1.259,0, , , , , , , , , ,SOLRAS,P,dm,L: 07:00-23:00,L: 07:00-23:00, ,2019/04/29 00:00:00+00
-6.983167,43.532833,53,6211601,ASTURIAS,CASTROPOL,BARRES,33794,"POLIGONO POL. IND. BARRES, PARCELA 11/7, 1",D,-6.983167,43.532833,1.369000,1.259,0, , , , , , , , , ,MP,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00, ,2019/04/29 00:00:00+00
-6.764556,43.541778,54,6211602,ASTURIAS,COAÑA,JARRIO,33719,"POLIGONO INDUSTRIAL RIO PINTO, 102",N,-6.764556,43.541778,1.389000,1.309,0, ,1.359000, , , ,1.509000, , , ,REPSOL,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00, ,2019/04/29 00:00:00+00
-6.759778,43.541056,55,6211603,ASTURIAS,COAÑA,JARRIO,33719,CTRA.N-634 km 528,D,-6.759778,43.541056,1.399000,1.309,0, ,1.389000, , , ,1.539000, , , ,SHELL,P,OM,"L-V: 06:00-00:00; S-D: 07:00-23:00","L-V: 06:00-00:00; S-D: 07:00-23:00", ,2019/04/29 00:00:00+00
-6.783639,43.544278,56,6211604,ASTURIAS,COAÑA,CARTAVIO,33719,"CR N-634, 530,1 (N-634 km 530,13)",I,-6.783639,43.544278,1.379000,1.299,1.013, ,1.359000, , , ,1.519000, , , ,REPSOL,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00, ,2019/04/29 00:00:00+00
-5.260944,43.484417,57,6211605,ASTURIAS,COLUNGA,COLUNGA,33320,"CR N-632, 23,7",D,-5.260944,43.484417,1.399000,1.319,0.999, ,1.399000, , , ,1.539000, , , ,REPSOL,P,dm,L: 06:00-22:00,L: 06:00-22:00, ,2019/04/29 00:00:00+00
-5.283194,43.4825,58,6211606,ASTURIAS,COLUNGA,COLUNGA,33320,"AUTOVIA A8 km 347,5",D,-5.283194,43.4825,1.399000,1.309,0, ,1.369000, , , ,1.514000, , , ,CEPSA,P,OM,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-5.289083,43.481361,59,6211607,ASTURIAS,COLUNGA,COLUNGA,33320,"AUTOVIA A8 km 347,5",I,-5.289083,43.481361,1.399000,1.309,0, ,1.369000, , , ,1.514000, , , ,CEPSA,P,OM,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-5.889639,43.535167,60,6211608,ASTURIAS,CORVERA DE ASTURIAS,CAMPOS (LOS),33404,"CARRETERA AS-17 KM. 3,5",D,-5.889639,43.535167,1.429000,1.299,0.939, ,1.359000, , , , , , , ,GALP,P,OM,L-D: 07:00-23:00,L-D: 07:00-23:00, ,2019/04/29 00:00:00+00
-5.871278,43.547556,61,6211609,ASTURIAS,CORVERA DE ASTURIAS,TRASMONTE,33468,"COMPLEJO CENTRO COMERCIAL PARQUE ASTUR, S/N",D,-5.871278,43.547556,1.399000,1.329,0, ,1.399000, , , ,1.509000, , , ,REPSOL,P,OM,L-D: 07:00-23:00,L-D: 07:00-23:00, ,2019/04/29 00:00:00+00
-5.8725,43.550694,62,6211610,ASTURIAS,CORVERA DE ASTURIAS,CORVERA DE ASTURIAS,33416,"CARRETERA AS-19 KM. 19,4",I,-5.8725,43.550694,1.399000,1.309,0, ,1.369000, , , ,1.514000, , , ,CEPSA,P,OM,"L-S: 06:00-23:59; D: 07:00-23:00","L-S: 06:00-23:59; D: 07:00-23:00", ,2019/04/29 00:00:00+00
-6.138361,43.546333,63,6211611,ASTURIAS,CUDILLERO,"PITO, EL",33154,"CARRETERA CTRA ANT. N 632 KM 123,7 KM. 123,7",D,-6.138361,43.546333,1.359000,1.259,0, , , , , , , , , ,SOLRAS,P,dm,L: 08:00-22:00,L: 08:00-22:00, ,2019/04/29 00:00:00+00
-6.166056,43.554528,64,6211612,ASTURIAS,CUDILLERO,CUDILLERO,33150,CARRETERA NACIONAL 632 KM 123.700 KM.,N,-6.166056,43.554528,1.389000,1.309,0, ,1.359000, , , ,1.509000, , , ,AVIA,P,dm,L-D: 06:30-22:30,L-D: 06:30-22:30, ,2019/04/29 00:00:00+00
-6.217694,43.546944,65,6211613,ASTURIAS,CUDILLERO,SAN COSME,33155,"CARRETERA N-632 KM. 128,100",I,-6.217694,43.546944, ,1.289,0, , , , , , , , , ,REPSOL,P,OM,L-S: 08:00-13:30 y 14:30-20:00,L-S: 08:00-13:30 y 14:30-20:00, ,2019/04/29 00:00:00+00
-6.283778,43.557583,66,6211614,ASTURIAS,CUDILLERO,NOVELLANA,33157,"AUTOVIA DEL CANTABRICO  A8 KM. 134,2",N,-6.283778,43.557583,1.426000,1.329,0, ,1.399000, , , ,1.546000, , , ,REPSOL,P,dm,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-6.845083,43.555028,67,6211615,ASTURIAS,FRANCO (EL),VALDEPARES,33746,"CR N-634, 535,8",D,-6.845083,43.555028,1.389000,1.309,1.018, ,1.369000, , , ,1.529000, , , ,REPSOL,P,OM,L-D: 07:00-23:00,L-D: 07:00-23:00, ,2019/04/29 00:00:00+00
-5.667639,43.541139,68,6211616,ASTURIAS,GIJÓN,GIJON,33206,"CALLE CARMEN, 24",D,-5.667639,43.541139,1.419000,1.319,0, , , , , , , , , ,CAMPSA,P,dm,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-5.671306,43.537917,69,6211617,ASTURIAS,GIJÓN,GIJON,33207,"AVENIDA PORTUGAL, 44",D,-5.671306,43.537917,1.439000,1.339,0, ,1.409000, , , ,1.559000, , , ,REPSOL,P,OM,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-5.657083,43.53825,70,6211618,ASTURIAS,GIJÓN,GIJON,33202,CL SANTA DORADIA 22,D,-5.657083,43.53825,1.419000,1.319,0, , , , , ,1.539000, , , ,REPSOL,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00, ,2019/04/29 00:00:00+00
