provincia,municipio,localidad,codigo_po,direccion,longitud,latitud
ASTURIAS,LLANERA,LLANERA,33192,Polig. Ind. Silvota-Ampliacion,-5.82075,43.419
ASTURIAS,LLANES,POSADA,33594,CARRETERA AS-115 KM. 2,-4.8814720000000005,43.413806
ASTURIAS,LLANES,POSADA,33594,CARRETERA AS-263 KM. 19,-4.86225,43.426417
ASTURIAS,LLANES,POSADA,33594,AUTOVIA AUTOVIA A8 KM. 310,-4.857333000000001,43.432722
ASTURIAS,LLANES,POSADA,33594,AUTOVIA AUTOVIA A8 KM. 310,-4.856611,43.431667
ASTURIAS,LLANES,SAN ROQUE DEL ACEBAL,33596,"CARRETERA N. 634 KM. 299,1",-4.7349440000000005,43.398666999999996
ASTURIAS,MIERES,MIERES,33600,"POLIGONO POL.IND. VEGA DE ARRIBA, S/N",-5.7788889999999995,43.236944
ASTURIAS,MIERES,MIERES,33600,"POLIGONO IND. FABRICA DE MIERES,2",-5.796806,43.267556
ASTURIAS,MIERES,MIERES,33600,"CALLE VEGA DE ARRIBA, 27",-5.7796389999999995,43.232611
ASTURIAS,MIERES,MIERES,33600,"BARRI ARROXO, S/N",-5.777056,43.257971999999995
ASTURIAS,MIERES,SANTULLANO,33611,"COMPLEJO CENTRO COMERCIAL CAUDALIA, S/N",-5.781944,43.227722
ASTURIAS,MIERES,CORTINA,33683,"CARRETERA FIGAREDO TURON KM. 1,6",-5.763083,43.209917
ASTURIAS,MIERES,MIERES,33614,POLIGONO GONZALIN PARC. T-C.,-5.781639,43.246083
ASTURIAS,MORCIN,ARGAME,33163,"CARRETERA N630 KM. 36,7",-5.881583,43.301111
ASTURIAS,MUROS DE NALON,MUROS,33138,"AVENIDA RIEGO, 5",-6.101111,43.541000000000004
ASTURIAS,NAVA,NAVA,33520,"CARRETERA N-634 KM. 379,7",-5.546583,43.373056
ASTURIAS,NAVA,NAVA,33520,"CARRETERA N-634 KM. 375,1",-5.497333,43.358222
ASTURIAS,NAVIA,NAVIA,33710,POL. LA COLORADA,-6.705845,43.535612
ASTURIAS,NAVIA,NAVIA,33710,"TRAVESIA DE LA GRANJA, S/N",-6.7211669999999994,43.545083
ASTURIAS,NAVIA,NAVIA,33710,"AVENIDA DE LOS EMIGRANTES, 34",-6.724611,43.536417
ASTURIAS,NAVIA,NAVIA,33710,AUTOVIA A-8 KM. 521,-6.693417,43.535194
