id,provincia,municipio,localidad,codigo_po,direccion,longitud,latitud
gasolinera_95,CORDOBA,MONTILLA,MONTILLA,14550,CARRETERA N331 KM. 41,-4,678472,37,606278
gasolinera_96,CORDOBA,FUENTE PALMERA,FUENTE PALMERA,14120,CARRETERA FUENTE PALMERA- LA VENTILLA L-120 KM. 0,500,-5,098111,37,708139
gasolinera_97,CORDOBA,LUCENA,LUCENA,14900,CARRETERA CABRA KM. 1,5,-4,474806,37,430944
gasolinera_98,CORDOBA,PALMA DEL RIO,PALMA DEL RIO,14700,AVENIDA AVENIDA DE LA PAZ SN  / GRAN VIA AULIO CORNELIO PALMA  SN, SN,-5,272694,37,700056
gasolinera_99,CORDOBA,POZOBLANCO,POZOBLANCO,14400,CALLE MUNOZ DE SEPULVEDA, 99,-4,853167,38,373861
gasolinera_100,CORDOBA,PRIEGO DE CORDOBA,PRIEGO DE CORDOBA,14800,AVENIDA DE GRANADA, S,N,-4,191889,37,441611
gasolinera_101,CORDOBA,PUENTE GENIL,PUENTE GENIL,14500,CALLE ESTEPA, 1,-4,781333,37,379556
gasolinera_102,CORDOBA,VILLA DEL RIO,VILLA DEL RIO,14640,POLIGONO ANTIGUA N-4 TR.ORIENTAL, 16, 16,-4,277472,37,986306
gasolinera_103,CORUNA (A),AMES,AMES,15864,RUA DAS HEDRAS 13, P. EMPRESARIAL NOVOMILLADOIRO,-8,582553,42,849721
gasolinera_104,CORUNA (A),CULLEREDO,FONTECULLER,15174,AVENIDA DE FONTECULLER, SN,-8,381111,43,324139
gasolinera_105,CORUNA (A),BOIRO,PESQUEIRA,15939,MUELLE BAJO MUELLE, S/N,-8,890167,42,613556
gasolinera_106,CORUNA (A),NARON,NARON,15320,RUA LUIS SEOANE, 147,-8,196611,43,488944
gasolinera_107,CORUNA (A),CARBALLO,CARBALLO,15100,LUGAR A REVOLTA, 20,-8,699444,43,204472
gasolinera_108,CORUNA (A),OZA DOS RIOS,OZA,15380,AC 840 km 6,89,-8,1905,43,225889
gasolinera_109,LUGO,GUITIRIZ,GUITIRIZ,27300,PARQUE EMPRESARIAL DE GUITIRIZ, PARCELA, 55,-7,926889,43,184861
gasolinera_110,CORUNA (A),MUROS,MUROS,15250,POLIGONO DE MUROS - VENTIN, S/N,-9,072028,42,785278
gasolinera_111,CORUNA (A),NOIA,ABRUNEIRAS,15210,CARRETERA BARQUINA S/N KM. 2,5,-8,888111,42,798167
gasolinera_112,CORUNA (A),ORDES,ORDES,15680,N-550 km 34,5,-8,403111,43,093389
gasolinera_113,CORUNA (A),SANTA COMBA,SANTA COMBA,15840,AVENIDA BRASIL, 0,-8,817556,43,027333
gasolinera_114,CUENCA,TARANCON,TARANCON,16400,AVENIDA REY JUAN CARLOS I, 37,-3,005306,40,006583
gasolinera_115,CUENCA,CASTILLO DE GARCIMUNOZ,CASTILLO DE GARCIMUNOZ,16623,N-III km 159,900,-2,352278,39,651444
gasolinera_116,CUENCA,CUENCA,CUENCA,16003,AVENIDA REYES CATOLICOS, 76,-2,138278,40,059472
gasolinera_117,CASTELLON / CASTELLO,CABANES,CABANES,12180,AUTOPISTA AP-7 (MRG.DCHO) KM. 404,0,138722,40,131806
gasolinera_118,CIUDAD REAL,ALCAZAR DE SAN JUAN,ALCAZAR DE SAN JUAN,13600,AVENIDA DE LOS INSTITUTOS, S/N,-3,224611,39,39225
gasolinera_119,HUELVA,AYAMONTE,AYAMONTE,21400,AVENIDA CONSTITUCION, S/N,-7,398556,37,220694
gasolinera_120,CIUDAD REAL,BOLANOS DE CALATRAVA,BOLANOS DE CALATRAVA,13260,CALLE CTRA. C-417, PK. KM 17,, 17,-3,677333,38,904139
gasolinera_121,CIUDAD REAL,PUERTOLLANO,PUERTOLLANO,13500,CARRETERA NACIONAL 420 KM. 160,-4,101667,38,701556
gasolinera_122,CIUDAD REAL,CAMPO DE CRIPTANA,CAMPO DE CRIPTANA,13610,AVENIDA DE LA HISPANIDAD, 10,-3,128361,39,400861
gasolinera_123,CIUDAD REAL,CIUDAD REAL,CIUDAD REAL,13004,CALLE RONDA DE LA MATA, S/N,-3,920833,38,983083
gasolinera_124,CIUDAD REAL,DAIMIEL,DAIMIEL,13250,CARRETERA N-420 KM KM. 231,-3,596278,39,076278
gasolinera_125,CIUDAD REAL,MEMBRILLA,MEMBRILLA,13230,CARRETERA NACIONAL 430 KM 368 KM. 368,-3,336417,38,973667
gasolinera_126,CIUDAD REAL,PEDRO MUNOZ,PEDRO MUNOZ,13620,CARRETERA PEDRO MUNOZ A SOCUELLAMOS KM. 1,-2,937778,39,396167
gasolinera_127,CIUDAD REAL,SANTA CRUZ DE MUDELA,SANTA CRUZ DE MUDELA,13730,CALLE PEDRO VARELA, S/N,-3,452778,38,644833
gasolinera_128,CIUDAD REAL,SOCUELLAMOS,SOCUELLAMOS,13630,CM-3102 km 23,1,-2,784361,39,283694
gasolinera_129,CIUDAD REAL,TOMELLOSO,TOMELLOSO,13700,CALLE SOCUELLAMOS, 92,-3,016139,39,163694
gasolinera_130,CIUDAD REAL,VALDEPENAS,VALDEPENAS,13300,CR CM-412, 84,8,-3,3985,38,766444
gasolinera_131,CIUDAD REAL,VILLARTA DE SAN JUAN,VILLARTA DE SAN JUAN,13210,AUTOVIA A-4 KM. 145,330,-3,430306,39,250333
gasolinera_132,CIUDAD REAL,VISO DEL MARQUES,VISO DEL MARQUES,13770,CARRETERA CM-4111 KM. 64,-3,550556,38,520556
gasolinera_133,CORDOBA,BAENA,BAENA,14850,AVENIDA ALEMANIA, 1,-4,314667,37,622667
gasolinera_134,CORDOBA,CARLOTA (LA),CARLOTA (LA),14100,AUTOVIA A-4 KM. 432,-4,928111,37,678611
gasolinera_135,HUELVA,PALMA DEL CONDADO (LA),PALMA DEL CONDADO (LA),21700,CARRETERA CRTRA LA PALMA A BOLLULLOS KM. 3,2,-6,538056,37,358889
gasolinera_137,HUELVA,MANZANILLA,MANZANILLA,21890,CARRETERA A472 KM. 34,90,-6,399694,37,387028
gasolinera_138,HUESCA,BARBASTRO,BARBASTRO,22300,CARRETERA N-240 KM. 160,0,118444,42,032194
gasolinera_139,HUESCA,BINEFAR,BINEFAR,22500,CARRETERA N-240 KM. 131,7,0,295694,41,845722
gasolinera_140,HUESCA,FRAGA,FRAGA,22520,POLIGONO SUB 7 BIS, ANTIGUA NII, S/N,0,365417,41,524139
gasolinera_141,HUESCA,HUESCA,HUESCA,22004,AVENIDA MARTINEZ DE VELASCO, 53,-0,417278,42,131611
gasolinera_142,HUESCA,MONZON,MONZON,22400,CL AVENIDA LERIDA, 31 (N-240 km 143),0,19675,41,911056
gasolinera_143,JAEN,ANDUJAR,ANDUJAR,23740,AVDA. BLAS INFANTE, S/N,-4,039583,38,039361
gasolinera_144,JAEN,BAEZA,BAEZA,23440,CARRETERA 326 KM. 12,1,-3,479194,38,002194
gasolinera_145,JAEN,BAILEN,BAILEN,23710,AUTOVIA E-5/A-4 KM. 288,-3,7285,38,1435
gasolinera_146,JAEN,CAROLINA (LA),CAROLINA (LA),23200,AUTOVIA AUTOVIA DE ANDALUCIA KM. 266,-3,591167,38,281917
gasolinera_147,JAEN,JAEN,JAEN,23001,CARRETERA N-321 KM. 60,3,-3,826611,37,784361
gasolinera_148,JAEN,VILLANUEVA DEL ARZOBISPO,VILLANUEVA DEL ARZOBISPO,23330,AVENIDA VALENCIA DE, 116,-3,004083,38,172556
gasolinera_149,JAEN,LINARES,LINARES,23700,CL AVENIDA DE ESPA?A, 3,-3,626222,38,090222
gasolinera_150,JAEN,MANCHA REAL,MANCHA REAL,23100,CALLE LA LONJA, 4,-3,617778,37,788972
gasolinera_151,JAEN,UBEDA,UBEDA,23400,CALLE LEON XIII S/N (N-323 KM. 125,20),,-3,367778,38,021944
gasolinera_152,JAEN,SANTISTEBAN DEL PUERTO,SANTISTEBAN DEL PUERTO,23250,POLIGONO POL. IND.  EL CONDADO. C/ SORIHUELA, S/N,-3,176222,38,259944
gasolinera_153,CUENCA,HITO (EL),HITO (EL),16441,AUTOVIA DEL ESTE KM. 111,-2,714278,39,903833
gasolinera_154,CUENCA,MOTA DEL CUERVO,MOTA DEL CUERVO,16630,CALLE CAMINO REAL ALTO, 1,-2,870472,39,503139
gasolinera_155,CUENCA,MOTILLA DEL PALANCAR,MOTILLA DEL PALANCAR,16200,CARRETERA ALBACETE, N-320 KM. 72,-1,902944,39,553778
gasolinera_156,CUENCA,PROVENCIO (EL),PROVENCIO (EL),16670,C/ TOSTADO, 22,-2,575924,39,381699
gasolinera_157,CUENCA,SAN CLEMENTE,SAN CLEMENTE,16600,CARRETERA NACIONAL 310 KM. 153,3,-2,438556,39,392028
gasolinera_158,GIRONA,QUART,QUART,17242,CR C-250, 7,7,2,84375,41,933361
gasolinera_159,GIRONA,FIGUERES,VILATENIM,17484,CARRETERA FIGUERES A ROSES KM 29 KM. 29,2,999944,42,268417
gasolinera_160,GIRONA,ULLA,ULLA,17140,CARRETERA C-31 KM. 350,5,3,117222,42,045306
gasolinera_161,GIRONA,BISBAL D'EMPORDA (LA),BISBAL D'EMPORDA(LA),17100,POLIGONO DE LA AIGUETA, S/N,3,031222,41,967528
gasolinera_162,GIRONA,JONQUERA (LA),LA JONQUERA,17700,CARRETERA N-II KM. 773,5,2,8785,42,406889
gasolinera_163,GIRONA,ESCALA (L'),ESCALA (L'),17130,CALLE CLOSA D'EN LLOP, 2,3,123222,42,124972
gasolinera_164,GIRONA,OLOT,OLOT,17800,CALLE IGNASI BUXO GOU, D', 4,2,497139,42,186806
gasolinera_165,GIRONA,PUIGCERDA,PUIGCERDA,17520,CALLE GIRONA, 1,1,928583,42,426417
gasolinera_166,GIRONA,RIPOLL,RIPOLL,17500,PASSEIG REGULL, 12,2,19075,42,197083
gasolinera_167,GRANADA,BAZA,BAZA,18800,AVENIDA MURCIA S/N, S/N,-2,765278,37,493361
gasolinera_168,GRANADA,CULLAR,CULLAR,18850,AUTOVIA A/92 GRANADA MURCIA KM. 354,-2,608944,37,554194
gasolinera_169,LEON,BANEZA (LA),BANEZA (LA),24750,AVENIDA PORTUGAL, 46,-5,911417,42,292389
gasolinera_170,LEON,CAMPO DE VILLAVIDEL,CAMPO DE VILLAVIDEL,24225,CARRETERA A231 KM. 8,-5,520889,42,454889
gasolinera_171,LEON,PONFERRADA,PONFERRADA,24400,AVENIDA GALICIA, 86,-6,625694,42,560583
gasolinera_172,LEON,LEON,LEON,24009,AVENIDA SAENZ DE MIERA S/N, S/N,-5,577389,42,590833
gasolinera_173,LEON,SAHAGUN,SAHAGUN,24320,AVENIDA FERNANDO DE CASTRO, 39,-5,033111,42,368611
gasolinera_174,LEON,VILLADANGOS DEL PARAMO,VILLADANGOS DEL PARAMO,24397,CARRETERA N-120 (LEON-ASTORGA) KM. 322,300,-5,756417,42,524861
gasolinera_175,LLEIDA,LLEIDA,LLEIDA,25191,AVINGUDA INDUSTRIA, P. 504,0,660722,41,626361
gasolinera_176,LLEIDA,TARREGA,TARREGA,25300,AVENIDA BARCELONA, 26,1,149694,41,652472
gasolinera_177,LLEIDA,BELLPUIG,BELLPUIG,25250,CARRETERA LV3344 KM. 1,5,1,000306,41,644444
gasolinera_178,LLEIDA,BORGES BLANQUES (LES),BORGES BLANQUES (LES),25400,N-240  (C. C. BON AREA) km 71,15,0,842705,41,532891
gasolinera_179,LLEIDA,MOLLERUSSA,MOLLERUSSA,25230,AVENIDA JAIME I, 24,0,887778,41,630056
gasolinera_180,LLEIDA,TREMP,VILAMITJANA,25654,CARRETERA ARTESA DE SEGRE A TREMP KM. 51,0,930444,42,141611
gasolinera_181,LLEIDA,VIELHA E MIJARAN,BETREN,25539,Ctra.C-142 km s/n,0,805861,42,696583
gasolinera_182,LUGO,FOZ,FOZ,27780,RUA MIGUEL DE CERVANTES, 44,-7,260111,43,571833
gasolinera_183,LUGO,LUGO,LUGO,27003,AVENIDA LA CORUNA, 310,-7,567167,43,025667
gasolinera_184,MALAGA,MALAGA,MALAGA,29016,CARRETERA COMARCAL COIN-MALAGA KM. 89,-4,502306,36,660889
gasolinera_185,MADRID,SAN LORENZO DE EL ESCORIAL,SAN LORENZO DE EL ESCORIAL,28200,AUTOPISTA AP-6 KM. 42,3,-4,038167,40,643667
gasolinera_186,MADRID,NAVALCARNERO,NAVALCARNERO,28600,CALLE ZACARIAS (DE), 20,-4,01,40,295111
gasolinera_187,MADRID,PERALES DE TAJUNA,PERALES DE TAJUNA,28540,CARRETERA N-3 KM. 39,2,-3,347528,40,229722
gasolinera_188,MALAGA,VELEZ-MALAGA,VELEZ-MALAGA,29700,CL AVDA. VIVAR TELLEZ, 26,-4,100278,36,776417
gasolinera_189,MURCIA,CARAVACA DE LA CRUZ,CARAVACA DE LA CRUZ,30400,CARRETERA GRANADA, P.J. SANTA INES KM. 1,-1,867944,38,089472
gasolinera_190,MURCIA,ABARAN,ABARAN,30550,MU-413 km 2,-1,37772,38,207268
gasolinera_191,MURCIA,FUENTE ALAMO DE MURCIA,BALSAPINTADA,30332,PARAJE CASAS DE PACO PEDRENO, S/N,-1,098278,37,758528
