Fichero actualizado a fecha: 2020-12-20 10:29:57
"Nombre del Organismo";"Descripción";"DatosPersonales";"Dirección";"Calle";"CodigoPostal";"Localidad";"Localidad";"SoloClasificar";"Teléfono";"Telefax oficial";"Fax";"e-mail";"Páginas de internet";"Posicion";"Información adicional";Directorio Superior;Identificador Directorio Superior;Identificador;ultimaActualizacion;Enlace al contenido;
"1 Punto de recarga privado Mennekes";;;;"C/ Capuletti, 80";"47008";"Valladolid";"1179469313463";;;;;;;"41.607665#-4.750180#88";;;"";1284365153337;20140911;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284365153337/DirectorioPadre";
"2 puntos de recarga, 1 Schuko y 1 Mennekes (No simultaneas)";;"Parking exterior privado. Residencia Sanitaria Nuestra Señora de Sonsoles";;"Avenida Juan Carlos I, s/n";"05004";"Ávila";"1179297192941";;;;;;;"40.6657628#-4.6669014#88";;;"";1284323278988;20140520;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284323278988/DirectorioPadre";
"Punto de recarga público operativo tipo Schuko";;;;"C/ de la Tierra (La Victoria)";"47009";"Valladolid";"1179469313463";;;;;;;"41.66476914968983#-4.7334980964660644#94";;;"";1284204216719;20140620;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284204216719/DirectorioPadre";
"3 puntos de recarga para motos de uso privado instalados tipo Schuko (exclusivos de la policía)";;"Jefatura de Polìcía Municipal";;"Avda. de Burgos, 3";"47009";"Valladolid";"1179469313463";;;;;;;"41.661522#-4.733238#76";;;"";1284187838164;20140620;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284187838164/DirectorioPadre";
"2 puntos de recarga públicos operativos Mennekes y Schuko";;"Museo de la Ciencia. Parking Interior";;"Avda. de Salamanca, 59";"47014";"Valladolid";"1179469313463";;;;;;;"41.637593#-4.746121#100";;;"";1284195471469;20140620;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284195471469/DirectorioPadre";
"1 Punto de recarga en parking público soterrado";;"Hospedería Convento de San Esteban antiguo Convento de San Francisco";;"C/Convento";"42330";"San Esteban de Gormaz";"1179469192210";;;;;;;"41.573224#-3.203236#88";;;"";1284365091937;20140911;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284365091937/DirectorioPadre";
"1 punto de recarga en parking interior privado tipo Schuko";;"Restaurante el Refugio de Don Miguel";;"C/ Boticas, 21";"09410";"Peñaranda de Duero";"1179297580282";;;;;;;"41.688079#-3.481594#88";;;"";1284361927933;20140901;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284361927933/DirectorioPadre";
"Punto de recarga público instalado Mennekes";;"Centro de Soluciones Empresariales de Castilla y León";;"C/Jacinto Benavente, 2";"47195";"Arroyo de la Encomienda";"1179469235248";;;;;;;"41.6147895#-4.7963969#100";;;"";1284204211772;20140619;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284204211772/DirectorioPadre";
"2 puntos de recarga tipo Mennekes de uso exclusivo para la comunidad universitaria";;"Edificio de Filosofía, Economía y  Empresa y Ciencias Sociales.";;"Campus Miguel de Unamuno";"37071";"Salamanca";"1179298323820";;;;;;;"40.969011#-5.678228#94";;;"";1284274602418;20140611;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284274602418/DirectorioPadre";
"Un punto tipo Mennekes de Red de Recarga de Vehículo Eléctrico USAL (de uso exclusivo para la comunidad universitaria)";;"Campus de Ciencias.";;"Facultad de Ciencias y Ciencias Químicas.";"37008";"Salamanca";"1179298323820";;;;;;;"40.961056#-5.671137#112";;;"";1284275356413;20140611;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284275356413/DirectorioPadre";
"5 Puntos de recarga Mennekes marca Ingeteam";;"AUTOVICAN S.L.";;"C/ Alcalde Martín Cobos, 26";"09007";"Burgos";"1179297447397";;;;;;;"42.3557531999932#-3.64261150360107#88";;;"";1284323328601;20140521;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284323328601/DirectorioPadre";
"Punto de recarga público operativo tipo Mennekes";;"PRAE";;"Cañada Real, 306";"47008";"Valladolid";"1179469313463";;;;;;;"41.603847#-4.762638#82";;;"";1284204216233;20140620;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284204216233/DirectorioPadre";
"5 Puntos de recarga de uso privado tipo Mennekes";;"AUTO GONSE S.A.";;"Polígono Industrial Las Casas C/F 200A";"42005";"Casas (Las)";"1179469197921";;;;;;;"41.7774095#-2.4839094#82";;;"";1284332256000;20140618;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284332256000/DirectorioPadre";
"Punto de recarga público operativo tipo tipo Schuko marca Emerix";;"Centro Comercial Las Huertas";;"Avda. de Madrid";"34004";"Palencia";"1179298104011";;;;;;;"41.994115#-4.520471#106";;;"";1284195514881;20140528;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284195514881/DirectorioPadre";
"Punto de recarga público operativo tipo Schuko marca Ingeteam";;;;"C/Lola de la Fuente";"34004";"Palencia";"1179298104011";;;;;;;"42.012918#-4.516041#82";;;"";1284195515606;20140602;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284195515606/DirectorioPadre";
"5 Puntos de recarga de uso privado tipo Mennekes marca Ingeteam";;"VICAUTO S.A.";;"Calle Extremadura, 13";"34004";"Palencia";"1179298104011";;;;;;;"42.0054752#-4.519117#88";;;"";1284332133708;20140611;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284332133708/DirectorioPadre";
"2 Puntos de recargas exclusivos para clientes, operativo 10:00 a 22:00";;"El Corte Inglés";;"Paseo de Zorrilla, 130";"47007";"Valladolid";"1179469313463";;;;;;;"41.6371663#-4.7395772#88";;;"";1284195446782;20140620;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284195446782/DirectorioPadre";
"Punto de recarga público operativo tipo Mennekes";;"Campus Miguel Delibes";;"Paseo de Belén";"47011";"Valladolid";"1179469313463";;;;;;;"41.661311#-4.707555#88";;;"";1284204216475;20140619;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284204216475/DirectorioPadre";
"2 Puntos de recarga públicos operativos, 1 Schuko y 1 Mennekes";;"Exterior Centro Comercial Vallsur";;"Paseo de Zorrilla, s/n";"47008";"Valladolid";"1179469313463";;;;;;;"41.6233538#-4.749994#88";;;"";1284195457678;20140620;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284195457678/DirectorioPadre";
"Punto de recarga privado operativo";;"Eylo Motor - Nissan";;"Avda. de Gijón, 92";"47009";"Valladolid";"1179469313463";;;;;;;"41.66085#-4.754148#82";;;"";1284204202776;20140620;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284204202776/DirectorioPadre";
"Punto de recarga público instalado tipo Mennekes";;"Junta de Castilla y León. Presidencia";;"C/ de Santiago Alba, 62";"47008";"Valladolid";"1179469313463";;;;;;;"41.608782#-4.7485613#88";;;"";1284204204547;20140620;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284204204547/DirectorioPadre";
"1 punto de Recarga 400V/32A";;"Parador de Benavente";;"Pº de la Mota, s/n";"49600";"Benavente";"1179469338450";;;;;;;"41.998499#-5.681021#112";;;"";1284365154737;20140911;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284365154737/DirectorioPadre";
"4 puntos de recarga tipo Schuko y Scame marca Scheneider Electric en parking público soterrado";;"Museo de la Evolución Humana";;"Paseo Sierra de Atapuerca, s/n";"09002";"Burgos";"1179297447397";;;;;;;"42.3400917#-3.6965922#88";;;"";1284195510850;20140827;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284195510850/DirectorioPadre";
"2 puntos de recarga privados pero permitidos a los clientes de la empresa operativos";;"Centro de Experimentación y Seguridad Vial de Mapfre (Cesvimap)";;"Jorge Ruiz de Santayana, 20 (P.I. las Hervencias)";"05004";;;;;;;;;"40.665197#-4.683255#88";;;"";1284206379337;20140509;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284206379337/DirectorioPadre";
