Ciudades;Distance
Albacete2Pontevedra1;873864
Albacete2Pontevedra2;873477
Albacete2Salamanca1;475228
Albacete2Salamanca2;476592
Albacete2San Sebastian1;696533
Albacete2San Sebastian2;696533
Albacete2Santander1;698631
Albacete2Santander2;698329
Albacete2Segovia1;352255
Albacete2Segovia2;353588
Albacete2Sevilla1;521541
Albacete2Sevilla2;525287
Albacete2Soria1;457600
Albacete2Soria2;459869
Albacete2Tarragona1;452842
Albacete2Tarragona2;451148
Albacete2Teruel1;208994
Albacete2Teruel2;208994
Albacete2Toledo1;247578
Albacete2Toledo2;249509
Albacete2Valencia1;184868
Albacete2Valencia2;188099
Albacete2Valladolid1;450081
Albacete2Valladolid2;449887
Albacete2Vitoria1;596368
Albacete2Vitoria2;599935
Albacete2Zamora1;515415
Albacete2Zamora2;513824
Albacete2Zaragoza1;387053
Alicante1A Coru̱a1;1014347
Alicante1A Coru̱a2;1015008
Alicante1Albacete1;166957
Alicante1Albacete2;166800
Alicante1Alicante1;0
Alicante1Alicante2;0
Alicante1Almeria1;289922
Alicante1Almeria2;289922
Alicante1Avila1;533732
Alicante1Avila2;533235
Alicante1Badajoz1;691849
Alicante1Badajoz2;687024
Alicante1Barcelona1;535799
Alicante1Barcelona2;540808
Alicante1Bilbao1;803825
Alicante1Bilbao2;806098
Alicante1Burgos1;654971
Alicante1Burgos2;649015
Alicante1Caceres1;673890
Alicante1Caceres2;674786
Alicante1Cadiz1;639277
Alicante1Cadiz2;639224
Alicante1Castellon1;262100
Alicante1Castellon2;261961
Alicante1Ciudad Real1;382197
Alicante1Ciudad Real2;382374
Alicante1Cordoba1;552371
Alicante1Cordoba2;552090
Alicante1Cuenca1;307326
Alicante1Cuenca2;307088
Alicante1Girona1;630374
Alicante1Girona2;632419
Alicante1Granada1;349498
Alicante1Granada2;349897
Alicante1Guadalajara1;452911
Alicante1Guadalajara2;452600
Alicante1Huelva1;697967
Alicante1Huelva2;696333
Alicante1Huesca1;574034
Alicante1Huesca2;573915
Alicante1Jaen1;407456
Alicante1Jaen2;406852
Alicante1Leon1;760950
Alicante1Leon2;760563
Alicante1Lerida1;500645
Alicante1Lerida2;499076
Alicante1Logrono1;667329
Alicante1Logrono2;668773
Alicante1Lugo1;924634
Alicante1Lugo2;923338
Alicante1Madrid1;417825
Alicante1Madrid2;416741
Alicante1Malaga1;479532
Alicante1Malaga2;478957
Alicante1Murcia1;81002
Alicante1Murcia2;81002
Alicante1Ourense1;926311
Alicante1Ourense2;926690
Alicante1Oviedo1;874574
Alicante1Oviedo2;871843
Alicante1Palencia1;685207
Alicante1Palencia2;687256
Alicante1Pamplona1;679022
Alicante1Pamplona2;675516
Alicante1Pontevedra1;1036996
Alicante1Pontevedra2;1036609
Alicante1Salamanca1;638360
Alicante1Salamanca2;639724
Alicante1San Sebastian1;762110
Alicante1San Sebastian2;762110
Alicante1Santander1;861763
Alicante1Santander2;861461
Alicante1Segovia1;515387
Alicante1Segovia2;516720
Alicante1Sevilla1;594506
Alicante1Sevilla2;600604
Alicante1Soria1;620732
Alicante1Soria2;623001
Alicante1Tarragona1;446620
Alicante1Tarragona2;444926
Alicante1Teruel1;329166
Alicante1Teruel2;329166
Alicante1Toledo1;410710
Alicante1Toledo2;412641
Alicante1Valencia1;178669
Alicante1Valencia2;181900
Alicante1Valladolid1;613213
Alicante1Valladolid2;613019
Alicante1Vitoria1;759500
Alicante1Vitoria2;763067
Alicante1Zamora1;678547
Alicante1Zamora2;676956
Alicante1Zaragoza1;505018
Alicante2A Coru̱a1;1014347
Alicante2A Coru̱a2;1015008
Alicante2Albacete1;166957
Alicante2Albacete2;166800
Alicante2Alicante1;0
Alicante2Alicante2;0
Alicante2Almeria1;289922
Alicante2Almeria2;289922
Alicante2Avila1;533732
Alicante2Avila2;533235
Alicante2Badajoz1;691849
Alicante2Badajoz2;687024
Alicante2Barcelona1;535799
Alicante2Barcelona2;540808
Alicante2Bilbao1;803825
Alicante2Bilbao2;806098
Alicante2Burgos1;654971
Alicante2Burgos2;649015
Alicante2Caceres1;673890
Alicante2Caceres2;674786
Alicante2Cadiz1;639277
Alicante2Cadiz2;639224
Alicante2Castellon1;262100
Alicante2Castellon2;261961
Alicante2Ciudad Real1;382197
Alicante2Ciudad Real2;382374
Alicante2Cordoba1;552371
Alicante2Cordoba2;552090
Alicante2Cuenca1;307326
Alicante2Cuenca2;307088
Alicante2Girona1;630374
Alicante2Girona2;632419
Alicante2Granada1;349498
Alicante2Granada2;349897
Alicante2Guadalajara1;452911
Alicante2Guadalajara2;452600
Alicante2Huelva1;697967
Alicante2Huelva2;696333
Alicante2Huesca1;574034
Alicante2Huesca2;573915
Alicante2Jaen1;407456
Alicante2Jaen2;406852
Alicante2Leon1;760950
Alicante2Leon2;760563
Alicante2Lerida1;500645
Alicante2Lerida2;499076
Alicante2Logrono1;667329
Alicante2Logrono2;668773
Alicante2Lugo1;924634
Alicante2Lugo2;923338
Alicante2Madrid1;417825
Alicante2Madrid2;416741
Alicante2Malaga1;479532
Alicante2Malaga2;478957
Alicante2Murcia1;81002
Alicante2Murcia2;81002
Alicante2Ourense1;926311
Alicante2Ourense2;926690
Alicante2Oviedo1;874574
Alicante2Oviedo2;871843
Alicante2Palencia1;685207
Alicante2Palencia2;687256
Alicante2Pamplona1;679022
Alicante2Pamplona2;675516
Alicante2Pontevedra1;1036996
Alicante2Pontevedra2;1036609
Alicante2Salamanca1;638360
Alicante2Salamanca2;639724
Alicante2San Sebastian1;762110
Alicante2San Sebastian2;762110
Alicante2Santander1;861763
Alicante2Santander2;861461
Alicante2Segovia1;515387
Alicante2Segovia2;516720
Alicante2Sevilla1;594506
Alicante2Sevilla2;600604
Alicante2Soria1;620732
Alicante2Soria2;623001
Alicante2Tarragona1;446620
Alicante2Tarragona2;444926
Alicante2Teruel1;329166
Alicante2Teruel2;329166
Alicante2Toledo1;410710
Alicante2Toledo2;412641
Alicante2Valencia1;178669
Alicante2Valencia2;181900
Alicante2Valladolid1;613213
Alicante2Valladolid2;613019
Alicante2Vitoria1;759500
Alicante2Vitoria2;763067
Alicante2Zamora1;678547
Alicante2Zamora2;676956
Alicante2Zaragoza1;505018
Almeria1A Coru̱a1;1131324
Almeria1A Coru̱a2;1131985
Almeria1Albacete1;354500
Almeria1Albacete2;354343
Almeria1Alicante1;288464
Almeria1Alicante2;288464
Almeria1Almeria1;0
Almeria1Almeria2;0
Almeria1Avila1;650710
Almeria1Avila2;650212
Almeria1Badajoz1;615041
Almeria1Badajoz2;612962
Almeria1Barcelona1;791542
Almeria1Barcelona2;796551
Almeria1Bilbao1;934180
Almeria1Bilbao2;936453
Almeria1Burgos1;785326
Almeria1Burgos2;779370
Almeria1Caceres1;660785
Almeria1Caceres2;660436
Almeria1Cadiz1;437906
Almeria1Cadiz2;437853
Almeria1Castellon1;517843
Almeria1Castellon2;517704
Almeria1Ciudad Real1;382316
Almeria1Ciudad Real2;381613
Almeria1Cordoba1;357932
Almeria1Cordoba2;357651
Almeria1Cuenca1;494869
Almeria1Cuenca2;494632
Almeria1Girona1;886117
Almeria1Girona2;888162
Almeria1Granada1;159767
Almeria1Granada2;160165
Almeria1Guadalajara1;591637
Almeria1Guadalajara2;591326
Almeria1Huelva1;508236
Almeria1Huelva2;506602
Almeria1Huesca1;829777
Almeria1Huesca2;829658
Almeria1Jaen1;217725
Almeria1Jaen2;217121
Almeria1Leon1;877928
Almeria1Leon2;877541
Almeria1Lerida1;756388
Almeria1Lerida2;754819
Almeria1Logrono1;861390
Almeria1Logrono2;860662
Almeria1Lugo1;1041611
Almeria1Lugo2;1040316
Almeria1Madrid1;540623
Almeria1Madrid2;538880
Almeria1Malaga1;202539
Almeria1Malaga2;210793
Almeria1Murcia1;216713
Almeria1Murcia2;216713
Almeria1Ourense1;1043288
Almeria1Ourense2;1043667
Almeria1Oviedo1;991552
Almeria1Oviedo2;988820
Almeria1Palencia1;802184
Almeria1Palencia2;804233
Almeria1Pamplona1;934765
Almeria1Pamplona2;931259
Almeria1Pontevedra1;1153974
Almeria1Pontevedra2;1153586
Almeria1Salamanca1;755337
Almeria1Salamanca2;756701
Almeria1San Sebastian1;990020
Almeria1San Sebastian2;990020
Almeria1Santander1;997289
Almeria1Santander2;996987
Almeria1Segovia1;632364
Almeria1Segovia2;633698
Almeria1Sevilla1;404775
Almeria1Sevilla2;410873
Almeria1Soria1;759458
Almeria1Soria2;761726
Almeria1Tarragona1;702364
Almeria1Tarragona2;700670
Almeria1Teruel1;584909
Almeria1Teruel2;584909
Almeria1Toledo1;488715
Almeria1Toledo2;490643
Almeria1Valencia1;434390
Almeria1Valencia2;437621
Almeria1Valladolid1;730191
Almeria1Valladolid2;729996
Almeria1Vitoria1;889855
Almeria1Vitoria2;893422
Almeria1Zamora1;795525
Almeria1Zamora2;793934
Almeria1Zaragoza1;760762
Almeria2A Coru̱a1;1131324
Almeria2A Coru̱a2;1131985
Almeria2Albacete1;354500
Almeria2Albacete2;354343
Almeria2Alicante1;288464
Almeria2Alicante2;288464
Almeria2Almeria1;0
Almeria2Almeria2;0
Almeria2Avila1;650710
Almeria2Avila2;650212
Almeria2Badajoz1;615041
Almeria2Badajoz2;612962
Almeria2Barcelona1;791542
Almeria2Barcelona2;796551
Almeria2Bilbao1;934180
Almeria2Bilbao2;936453
Almeria2Burgos1;785326
Almeria2Burgos2;779370
Almeria2Caceres1;660785
Almeria2Caceres2;660436
Almeria2Cadiz1;437906
Almeria2Cadiz2;437853
Almeria2Castellon1;517843
Almeria2Castellon2;517704
Almeria2Ciudad Real1;382316
Almeria2Ciudad Real2;381613
Almeria2Cordoba1;357932
Almeria2Cordoba2;357651
Almeria2Cuenca1;494869
Almeria2Cuenca2;494632
Almeria2Girona1;886117
Almeria2Girona2;888162
Almeria2Granada1;159767
Almeria2Granada2;160165
Almeria2Guadalajara1;591637
Almeria2Guadalajara2;591326
Almeria2Huelva1;508236
Almeria2Huelva2;506602
Almeria2Huesca1;829777
Almeria2Huesca2;829658
Almeria2Jaen1;217725
Almeria2Jaen2;217121
Almeria2Leon1;877928
Almeria2Leon2;877541
Almeria2Lerida1;756388
Almeria2Lerida2;754819
Almeria2Logrono1;861390
Almeria2Logrono2;860662
Almeria2Lugo1;1041611
Almeria2Lugo2;1040316
Almeria2Madrid1;540623
Almeria2Madrid2;538880
Almeria2Malaga1;202539
Almeria2Malaga2;210793
Almeria2Murcia1;216713
Almeria2Murcia2;216713
Almeria2Ourense1;1043288
Almeria2Ourense2;1043667
Almeria2Oviedo1;991552
Almeria2Oviedo2;988820
Almeria2Palencia1;802184
Almeria2Palencia2;804233
Almeria2Pamplona1;934765
Almeria2Pamplona2;931259
Almeria2Pontevedra1;1153974
Almeria2Pontevedra2;1153586
Almeria2Salamanca1;755337
Almeria2Salamanca2;756701
Almeria2San Sebastian1;990020
Almeria2San Sebastian2;990020
Almeria2Santander1;997289
Almeria2Santander2;996987
Almeria2Segovia1;632364
Almeria2Segovia2;633698
Almeria2Sevilla1;404775
Almeria2Sevilla2;410873
Almeria2Soria1;759458
Almeria2Soria2;761726
Almeria2Tarragona1;702364
Almeria2Tarragona2;700670
Almeria2Teruel1;584909
Almeria2Teruel2;584909
Almeria2Toledo1;488715
Almeria2Toledo2;490643
Almeria2Valencia1;434390
Almeria2Valencia2;437621
Almeria2Valladolid1;730191
Almeria2Valladolid2;729996
Almeria2Vitoria1;889855
Almeria2Vitoria2;893422
Almeria2Zamora1;795525
Almeria2Zamora2;793934
Almeria2Zaragoza1;760762
Avila1A Coru̱a1;516685
Avila1A Coru̱a2;517346
Avila1Albacete1;369259
Avila1Albacete2;369102
Avila1Alicante1;532420
Avila1Alicante2;532420
Avila1Almeria1;650660
Avila1Almeria2;650660
Avila1Avila1;0
Avila1Avila2;608
Avila1Badajoz1;332339
Avila1Badajoz2;367112
Avila1Barcelona1;724325
Avila1Barcelona2;734243
Avila1Bilbao1;415239
Avila1Bilbao2;417512
Avila1Burgos1;274088
Avila1Burgos2;260635
Avila1Caceres1;243686
Avila1Caceres2;244581
Avila1Cadiz1;615633
Avila1Cadiz2;615579
Avila1Castellon1;530871
Avila1Castellon2;530733
Avila1Ciudad Real1;250563
Avila1Ciudad Real2;250856
Avila1Cordoba1;501585
Avila1Cordoba2;501305
Avila1Cuenca1;276863
Avila1Cuenca2;276866
Avila1Girona1;808878
Avila1Girona2;810923
Avila1Granada1;523792
Avila1Granada2;520893
Avila1Guadalajara1;165793
Avila1Guadalajara2;167788
Avila1Huelva1;584546
Avila1Huelva2;582912
Avila1Huesca1;492158
Avila1Huesca2;492039
Avila1Jaen1;438905
Avila1Jaen2;441139
Avila1Leon1;263289
Avila1Leon2;262902
Avila1Lerida1;571933
Avila1Lerida2;570364
Avila1Logrono1;390898
Avila1Logrono2;390169
Avila1Lugo1;426972
Avila1Lugo2;425677
Avila1Madrid1;112506
Avila1Madrid2;114188
Avila1Malaga1;643827
Avila1Malaga2;643252
Avila1Murcia1;511364
Avila1Murcia2;511364
Avila1Ourense1;428649
Avila1Ourense2;429028
Avila1Oviedo1;376913
Avila1Oviedo2;374181
Avila1Palencia1;187545
Avila1Palencia2;189594
Avila1Pamplona1;465908
Avila1Pamplona2;467487
Avila1Pontevedra1;539335
Avila1Pontevedra2;538947
Avila1Salamanca1;108440
Avila1Salamanca2;109804
Avila1San Sebastian1;471079
Avila1San Sebastian2;471079
Avila1Santander1;382650
Avila1Santander2;382348
Avila1Segovia1;63569
Avila1Segovia2;64283
Avila1Sevilla1;499255
Avila1Sevilla2;496290
Avila1Soria1;255342
Avila1Soria2;255128
Avila1Tarragona1;655995
Avila1Tarragona2;654738
Avila1Teruel1;412842
Avila1Teruel2;412842
Avila1Toledo1;134084
Avila1Toledo2;132545
Avila1Valencia1;465476
Avila1Valencia2;465542
Avila1Valladolid1;117645
Avila1Valladolid2;117451
Avila1Vitoria1;370914
Avila1Vitoria2;374481
Avila1Zamora1;179354
Avila1Zamora2;178298
Avila1Zaragoza1;421520
Avila2A Coru̱a1;516364
Avila2A Coru̱a2;517026
Avila2Albacete1;368939
Avila2Albacete2;368782
Avila2Alicante1;532100
Avila2Alicante2;532100
Avila2Almeria1;650339
Avila2Almeria2;650339
Avila2Avila1;710
Avila2Avila2;0
Avila2Badajoz1;332019
Avila2Badajoz2;366792
Avila2Barcelona1;724005
Avila2Barcelona2;733923
Avila2Bilbao1;414918
Avila2Bilbao2;417191
Avila2Burgos1;273767
Avila2Burgos2;260314
Avila2Caceres1;243365
Avila2Caceres2;244261
Avila2Cadiz1;615312
Avila2Cadiz2;615259
Avila2Castellon1;530551
Avila2Castellon2;530412
Avila2Ciudad Real1;251348
Avila2Ciudad Real2;251642
Avila2Cordoba1;501265
Avila2Cordoba2;500984
Avila2Cuenca1;276542
Avila2Cuenca2;276546
Avila2Girona1;808557
Avila2Girona2;810602
Avila2Granada1;523472
Avila2Granada2;520573
Avila2Guadalajara1;165473
Avila2Guadalajara2;167468
Avila2Huelva1;584225
Avila2Huelva2;582592
Avila2Huesca1;491838
Avila2Huesca2;491718
Avila2Jaen1;438584
Avila2Jaen2;440818
Avila2Leon1;262968
Avila2Leon2;262581
Avila2Lerida1;571612
Avila2Lerida2;570043
Avila2Logrono1;390577
Avila2Logrono2;389848
Avila2Lugo1;426652
Avila2Lugo2;425356
Avila2Madrid1;112186
Avila2Madrid2;113867
Avila2Malaga1;643507
Avila2Malaga2;642932
Avila2Murcia1;511044
Avila2Murcia2;511044
Avila2Ourense1;428329
Avila2Ourense2;428708
Avila2Oviedo1;376592
Avila2Oviedo2;373861
Avila2Palencia1;187225
Avila2Palencia2;189274
Avila2Pamplona1;465587
Avila2Pamplona2;467166
Avila2Pontevedra1;539014
Avila2Pontevedra2;538627
Avila2Salamanca1;108119
Avila2Salamanca2;109483
Avila2San Sebastian1;470758
Avila2San Sebastian2;470758
Avila2Santander1;382330
Avila2Santander2;382028
Avila2Segovia1;63248
