id,Provincia,Direccion,Latitud,Longitud,Coordenadas
Teruel Bus,Teruel,Estacion de Autobuses de Teruel,40.341817,-1.1044234,"40.341817,-1.1044234"
Toledo Tren,Toledo,Estacion de Toledo,39.8623634,-4.011188499999999,"39.8623634,-4.011188499999999"
Toledo Bus,Toledo,Estacion de Autobuses de Toledo,39.8658304,-4.020387599999999,"39.8658304,-4.020387599999999"
Valencia Tren,Valencia,Estacion de Valencia,39.4594932,-0.3824848,"39.4594932,-0.3824848"
Valencia Bus,Valencia,Estacion de Autobuses de Valencia,39.480658,-0.3872928,"39.480658,-0.3872928"
Valladolid Tren,Valladolid,Estacion de Valladolid,41.642055,-4.7269042,"41.642055,-4.7269042"
Valladolid Bus,Valladolid,Estacion de Autobuses de Valladolid,41.6414043,-4.7321896,"41.6414043,-4.7321896"
Vitoria Tren,Vitoria,Estacion de Vitoria,42.8415153,-2.6726526,"42.8415153,-2.6726526"
Vitoria Bus,Vitoria,Estacion de Autobuses de Vitoria,42.85911,-2.68441,"42.85911,-2.68441"
Zamora Tren,Zamora,Estacion de Zamora,41.5018964,-5.7511788,"41.5018964,-5.7511788"
Zamora Bus,Zamora,Estacion de Autobuses de Zamora,41.5139361,-5.739047800000001,"41.5139361,-5.739047800000001"
Zaragoza Tren,Zaragoza,Estacion de Zaragoza,41.65869379999999,-0.9112260000000001,"41.65869379999999,-0.9112260000000001"
Zaragoza Bus,Zaragoza,Estacion de Autobuses de Zaragoza,41.65940579999999,-0.9112306,"41.65940579999999,-0.9112306"
