business_status,formatted_address,icon,name,photos,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,plus_code.compound_code,plus_code.global_code,opening_hours.open_now,permanently_closed
OPERATIONAL,"NA-4104, 31892, Navarra",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,IBIL Charging Station,,ChIJa4viSkXzUA0R0YBwRhEmCwQ,0.0,ChIJa4viSkXzUA0R0YBwRhEmCwQ,"['point_of_interest', 'establishment']",0,42.8626839,-1.7441425,42.86405727989272,-1.742727320107278,42.86135762010728,-1.745426979892722,V774+38 Aldaba,8CJWV774+38,True,
OPERATIONAL,"Plaza la Cruz, 22, 31370 Falces, Navarra",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Fenie Energía Estación de carga,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109829308085623099716"">Isidro Sanz</a>'], 'photo_reference': 'ATtYBwIkLEvwqJfErcYlgJlIYIF2YFiqw5AIoeq4Ul8n8RQgiZkgREM0XM6cpIxv5EM9cicv6ucTEhVBHRXuHTkQgPufmVC5_gDYKmF0wyzeligCa7-5h5pO5AAqDfJOMF5A3POKuiT-QoNXA_IL5RB_UePXD4CTvUiSdqvr7zcJvT-tZf1b', 'width': 4032}]",ChIJkdyAwg19Wg0RJ82NK8QH5x8,3.0,ChIJkdyAwg19Wg0RJ82NK8QH5x8,"['point_of_interest', 'establishment']",2,42.387694,-1.7938818,42.38909657989272,-1.792550970107278,42.38639692010728,-1.795250629892722,96Q4+3C Falces,8CJW96Q4+3C,True,
OPERATIONAL,"31200 Estella, Navarra",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga de VE Mercadona,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103572097526918443238"">Alfonso Vergara</a>'], 'photo_reference': 'ATtYBwK-IJe9CYu_JZ670UzoZ4y4wfc61OsBs2v-yl8eKZP617KvyP0YDLjAMKRqkvRBhp6Z_vZfwp64_EHc6pkKoz79UG_jDGxyyuOOLPCPktcqYTTK8QufMID4IKYfMrYADsbxkcN8bRiABOBCRKXoafEV76h3Pwh4w5knrmNs6H3wkD7j', 'width': 4032}]",ChIJyZmN831xUA0RRTSH3SJUwMY,4.3,ChIJyZmN831xUA0RRTSH3SJUwMY,"['point_of_interest', 'establishment']",7,42.6545365,-2.0267147,42.65580522989272,-2.025571720107278,42.65310557010728,-2.028271379892722,MX3F+R8 Estella,8CJVMX3F+R8,True,
OPERATIONAL,"Calle Esquíroz, 31007 Pamplona, Navarra",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Estación de carga,,ChIJG8jnKlqSUA0RhSqPtgnOc5w,0.0,ChIJG8jnKlqSUA0RhSqPtgnOc5w,"['point_of_interest', 'establishment']",0,42.8079581,-1.6492792,42.80928777989272,-1.647866870107278,42.80658812010728,-1.650566529892722,R952+57 Pamplona,8CJWR952+57,True,
OPERATIONAL,"31191 Galar, Navarra",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Fenie Energia Charging Station,,ChIJa7WTUjOSUA0R_nVjxQK0pl4,0.0,ChIJa7WTUjOSUA0R_nVjxQK0pl4,"['point_of_interest', 'establishment']",0,42.7882027,-1.6376205,42.78956072989272,-1.636230670107278,42.78686107010728,-1.638930329892722,Q9Q6+7X Galar,8CJWQ9Q6+7X,True,
OPERATIONAL,"Av. San Ignacio, 10, 31002 Pamplona, Navarra",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Recarga eléctrica coches y motos,"[{'height': 386, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108566688003004230837"">rafael ricolfe</a>'], 'photo_reference': 'ATtYBwI1zPZYb20EJwvg9iaTqINrA3bw_eD9q68DaMuzhxuQcJN4CMqWiWJyz_RM-evFGgbRxjPQsPngvM6FHSxBellqNnVzx3NGkT9EpJ56SW15rLA4LtDJKFQEJl0H4J7ACh7sH40WCtJCVErI26Tj9HWqThYIqBVYiWUx6_9ZwDUoe4hC', 'width': 800}]",ChIJ79C-vviSUA0RyoUP6PqFJzM,5.0,ChIJ79C-vviSUA0RyoUP6PqFJzM,"['point_of_interest', 'establishment']",1,42.8140113,-1.6430723,42.81536187989272,-1.641710070107278,42.81266222010728,-1.644409729892722,R974+JQ Pamplona,8CJWR974+JQ,True,
OPERATIONAL,"Calle Carlos VII, 22, 31200 Estella, Navarra",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Clientes Charging Station,,ChIJ706fWbFxUA0R-DXjpBqHeAg,0.0,ChIJ706fWbFxUA0R-DXjpBqHeAg,"['point_of_interest', 'establishment']",0,42.66445,-2.03245,42.66583247989272,-2.031090820107278,42.66313282010728,-2.033790479892722,MX79+Q2 Estella,8CJVMX79+Q2,True,
OPERATIONAL,"Calle la Constitución, 3, 31530 Cortes, Navarra",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estacion F.f.c.c.adif,,ChIJt4JGFDQzWg0RjNXcxuLgJ5k,0.0,ChIJt4JGFDQzWg0RjNXcxuLgJ5k,"['point_of_interest', 'establishment']",0,41.9148292,-1.4203195,41.91615467989273,-1.419057270107278,41.91345502010728,-1.421756929892722,WH7H+WV Cortes,8CHWWH7H+WV,,
OPERATIONAL,"C. Ntra. Sra. de la Purificación, 89, 31195 Berrioplano, Navarra",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Feníe Energía Estación de carga,,ChIJk3xQXrTyUA0R_g22Dy69Xjk,0.0,ChIJk3xQXrTyUA0R_g22Dy69Xjk,"['point_of_interest', 'establishment']",0,42.853954,-1.691986,42.85530977989272,-1.690633870107278,42.85261012010728,-1.693333529892722,V835+H6 Berrioplano,8CJWV835+H6,True,
OPERATIONAL,"Av. San Ignacio, 10, 31002 Pamplona, Navarra",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Clientes Charging Station,,ChIJdUSMvviSUA0RZa9vxwWYxdg,0.0,ChIJdUSMvviSUA0RZa9vxwWYxdg,"['point_of_interest', 'establishment']",0,42.814018,-1.6430839,42.81537002989273,-1.641701070107278,42.81267037010728,-1.644400729892722,R974+JQ Pamplona,8CJWR974+JQ,,
