id;latitude;longitude;name;streetName;provincia;ccaa;postalCode;connectorType;ratedPowerKW;num_connectors
punto_recarga_130;42.8140125;-1.6430653000000002;Pamplona Avenida de Juan Pablo II;Avenida de Juan Pablo II;Navarre;Chartered Community of Navarre;31006;Chademo;50;1
punto_recarga_131;42.66445;-2.03245;Lodosa Carretera de Alcanadre;Carretera de Alcanadre;Navarre;Chartered Community of Navarre;31580;IEC62196Type2Outlet;11.1;1
punto_recarga_132;42.18844800000001;-1.579636;IBIL Tudela;;Navarre;Chartered Community of Navarre;31500;['StandardHouseholdCountrySpecific', 'IEC62196Type2Outlet'];[3.7, 11.1];2
punto_recarga_133;42.4615534;-2.4692679;Tesla Logroño Calle de los Portales;Calle de los Portales;Rioja;Rioja;26001;Tesla;;1
punto_recarga_134;42.306587;-1.9713310000000002;Mendavia Calle de Valero Garralda;Calle de Valero Garralda;Navarre;Chartered Community of Navarre;31587;IEC62196Type2Outlet;22.2;1
punto_recarga_135;42.4639505;-2.4468479;Logroño;;Rioja;Rioja;26008;IEC62196Type2Outlet;11.1;1
punto_recarga_136;42.53985000000001;-2.7785177000000005;Iberdrola Elciego Calle Torrea;Calle Torrea;Araba/Álava;Basque Country;01340;IEC62196Type2Outlet;22.2;1
punto_recarga_137;42.45278829999999;-2.4717361;Tesla Logroño Calle de los Portales;Calle de los Portales;Rioja;Rioja;26001;Tesla;;1
punto_recarga_138;42.462715;-2.4205330000000003;Oyón-Oion Carretera de Logroño;Carretera de Logroño;Araba/Álava;Basque Country;01320;['IEC62196Type2Outlet', 'IEC60309AC1PhaseBlue'];[2.8, None];2
punto_recarga_139;42.41599799999999;-2.7313679;Briones;;Rioja;Rioja;26330;['IEC62196Type2Outlet', 'StandardHouseholdCountrySpecific'];[22.2, 3.7];2
punto_recarga_140;42.416844399999995;-2.7317457000000003;Briones;;Rioja;Rioja;26330;['IEC62196Type2Outlet', 'StandardHouseholdCountrySpecific'];[22.2, 3.7];2
punto_recarga_141;42.2245739;-2.108609;Lerín Carretera de Allo;Carretera de Allo;Navarre;Chartered Community of Navarre;31260;StandardHouseholdCountrySpecific;2.8;1
punto_recarga_142;42.463955;-2.44955;Renault Logroño Avenida de Burgos;Avenida de Burgos;Rioja;Rioja;26007;IEC62196Type2Outlet;22.2;1
punto_recarga_143;42.48172599999999;-2.6480029999999997;Nájera Paseo San Julián;Paseo San Julián;Rioja;Rioja;26300;IEC62196Type2Outlet;22.2;1
punto_recarga_144;42.4604484;-2.4451785;Logroño;;Rioja;Rioja;26008;IEC62196Type2Outlet;11.1;1
punto_recarga_145;42.4577319;-2.4409028999999998;Iberdrola Logroño Calle de Entrena;Calle de Entrena;Rioja;Rioja;26007;['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'Chademo'];[43.6, 50, 50];3
punto_recarga_146;42.435487;-2.2796662999999997;Logroño Calle del Muro de Francisco de la Mata;Calle del Muro de Francisco de la Mata;Rioja;Rioja;26001;['StandardHouseholdCountrySpecific', 'IEC62196Type2Outlet'];[2.8, 7.4];2
punto_recarga_147;42.5836265;-2.8492737;Baños de Ebro Calle Mayor;Calle Mayor;Araba/Álava;Basque Country;01307;IEC62196Type2Outlet;22.2;1
punto_recarga_148;42.319129;-2.0514346000000003;Ribafrecha Calle del Boticón;Calle del Boticón;Rioja;Rioja;26130;IEC62196Type2Outlet;22.2;1
punto_recarga_149;42.511595899999996;-2.7543182999999996;Iberdrola Elciego Calle Torrea;Calle Torrea;Araba/Álava;Basque Country;01340;IEC62196Type2Outlet;22.2;1
