name,formatted_address,latitude,longitude
"EDP Comercializadora, SAU Charging Station","[no name], 33457 Castriḷḷón, Asturias",43.558741,-6.033053
"EDP Comercializadora, SAU Charging Station. Estación de carga de vehículos eléctricos.","Av Carr del Puerto, 11, 33830 Belmonte, Asturias",43.2846217,-6.2176445
"EDP Comercializadora, SAU Charging Station","Calle Picos de Europa, 33550 Cangas de Onís, Asturias",43.352418,-5.126055
Estación de carga de vehículos eléctricos,"Bo Barredo, 1, 33619 Mieres, Asturias",43.243018299999996,-5.7753992
EDP Estación de carga,"Polígono Parque Tecnológico, 33394 Gijón, Asturias",43.522923399999996,-5.613347
Punto de Recarga Para Coches Eléctricos,"Calle Juan de Austria, 10, 33213 Gijón, Asturias",43.5389948,-5.704622899999999
Estación de carga de vehículos eléctricos,"33010 Oviedo, Asturias",43.370549700000005,-5.8174663
Estación de carga de vehículos eléctricos,"Lugar Soto, 85, 33993 Rioseco, Asturias",43.2021202,-5.4680444999999995
Estación de carga de vehículos eléctricos,"Av. de los Monumentos, 33194 Oviedo, Asturias",43.373981,-5.863603899999998
Punto de Carga de VE,"Calle Hermanos García Gavito, 33500 Llanes, Asturias",43.422146399999995,-4.7548139
Estación de carga de vehículos eléctricos,"Calle Teodoro Cuesta, 2, 33600 Mieres, Asturias",43.2488883,-5.7718986
EDP Estación de carga,"82, Posada, 33690 Lugo de Llanera",43.422419,-5.826525
"EDP Comercializadora, SAU Charging Station","Calle Alfredo Truan, 1, 33205 Gijón, Asturias",43.5379426,-5.661900900000001
EDP Estación de carga,"Calle Foncalada, 14, 1ºd, 33002 Oviedo, Asturias",43.3648661,-5.846601799999998
EDP Estación de carga,"Cayés s/n, 33428, Asturias",43.4284998,-5.8314835
"EDP Comercializadora, SAU Charging Station","Calle de Asturias, 1, 33820 Grado, Asturias",43.387464,-6.072723000000001
EDP Estación de carga,"Calle Jose Luis Alvarez Margaride, 33204 Gijón, Asturias",43.525481899999996,-5.623283
Estación de carga de vehículos eléctricos,"Cl. Joaquín Costa, 8D, 33011 Oviedo, Asturias",43.370467600000005,-5.831601200000001
"EDP Comercializadora, SAU Charging Station","Av. del Llano, 19, 33209 Gijón, Asturias",43.53426839999999,-5.6603796
"EDP Comercializadora, SAU Charging Station","Av. de Torcuato Fernández Miranda, 2, 33203 Gijón, Asturias",43.5376187,-5.646305
"EDP Comercializadora, SAU Charging Station","Calle A, 33428 Coruño, Asturias",43.427307,-5.837884
"EDP Comercializadora, SAU Charging Station","Av. los Deportes, 1, 33829 Grado, Asturias",43.383319,-6.075036
"EDP Comercializadora, SAU Charging Station","Calle Río de Oro, 39, 33209 Gijón, Asturias",43.5269608,-5.6639027
"EDP Comercializadora, SAU Charging Station","Avenida Principal, 33429, Asturias",43.41575,-5.797037
Estación de carga de vehículos eléctricos,"Calle Frai Paulino Álvarez, 29, 33600 Mieres, Asturias",43.2430256,-5.774306200000001
"EDP Comercializadora, SAU Charging Station","Posada, 33192 Lugo de Llanera, Asturias",43.4228009,-5.8259548
"EDP Comercializadora, SAU Charging Station","N-632, 33300 Villaviciosa, Asturias",43.4889439,-5.444471
"EDP Comercializadora, SAU Charging Station","Calle Rector Julio Rodríguez, 1, 33600 Mieres, Asturias",43.2432424,-5.775941099999999
"EDP Comercializadora, SAU Charging Station","Playa de Rodiles, 33313 Selorio, Asturias",43.53214699999999,-5.373816000000001
"EDP Comercializadora, SAU Charging Station","Calle Juan Alvargonzález, 41, 33208 Gijón, Asturias",43.5302854,-5.6683901
"EDP Comercializadora, SAU Charging Station","Pol. Ind. El Cortaficio, 18, 33748 Tapia de Casariego, Asturias",43.561873,-6.9231240000000005
"EDP Comercializadora, SAU Charging Station","Calle Peña Santa, 33192 Lugo de Llanera, Asturias",43.416616,-5.810642
"EDP Comercializadora, SAU Charging Station","Carr. de Castiello, 33204 Bernueces, Asturias",43.524358,-5.6366189
Tesla Supercharger Reocín,"Barrio la Veguilla, 39538 Reocín, Cantabria",43.355563200000006,-4.0949048999999995
IBIL Estación de carga,"69 Diseminado, 39791 Ambrosero",43.411266499999996,-3.5423982000000005
Charge And Drive Estación de carga,"Calle José María Pereda, 18, 39300 Torrelavega, Cantabria",43.3504244,-4.04934
EDP Estación de carga,"Alameda Oviedo, 1, 39710 Solares, Cantabria",43.460733399999995,-3.8158797
Charge And Drive Charging Station,"Av. de los Castros, 55D, 39005 Santander, Cantabria",43.471503999999996,-3.7991366
Charge And Drive Charging Station,"Calle Cardenal Cisneros, 2, 39001 Santander, Cantabria",43.46317699999999,-3.8107660000000005
Charge And Drive Charging Station,"Calle Calderón de la Barca, 18, 39002 Santander, Cantabria",43.4592592,-3.8087241
Punto De Recarga Coche Eléctrico,"Av. de Cantabria, 11, 39770 Laredo, Cantabria",43.4102229,-3.4213199
Charge And Drive Charging Station,"Calle Jerónimo Sáinz de la Maza, 2, 39008 Santander, Cantabria",43.45816,-3.826439999999999
IBIL Charging Station,"Av. Ris, 64, 39180 Noja, Cantabria",43.48983399999999,-3.529208
Endesa Estación de carga,"Av. la Constitución, 2A, 39700 Castro Urdiales, Cantabria",43.382309899999996,-3.2176
Tesla Destination Charger,"Calle Fuente del Amor, s/n, 39820 Limpias, Cantabria",43.358353,-3.422443
Feníe Energía Estación de carga,"CA-131, 39547 San Vicente de la Barquera, Cantabria",43.385017,-4.338398000000001
Charge And Drive Charging Station,"Polígono Parque Científico y Tecnológico, 11, 39011 Santander, Cantabria",43.4537534,-3.8715016
Itevelesa,"Calle Amos de Escalante, 4, 39002 Santander, Cantabria",43.4581881,-3.8098184
Charge And Drive Charging Station,"Av. Manuel García Lago, 9, 39005 Santander, Cantabria",43.4785494,-3.7889691
Iberdrola Estación de carga,"Av. Cantabria, 23, 39400 Los Corrales de Buelna, Cantabria",43.2557701,-4.0681889
Fenie Energia,"Av. Miramar, 1, 39540 San Vicente de la Barquera, Cantabria",43.3838115,-4.399196099999999
Charge And Drive Charging Station,"Calle Rufino Ruíz Ceballos, 11, 39600 Camargo, Cantabria",43.4226701,-3.8434652000000002
IBIL Charging Station,"Plaza de la Villa, 5B, 39180 Noja, Cantabria",43.480003,-3.5225120000000003
EDP Charging Station,"N-634, 2E, 39594, Cantabria",43.374927,-4.500594
Tesla Destination Charger,"s/n Barrio La Barcena, Barrio Valle, 19-116, 39815 Valle, Cantabria",43.279418,-3.526302
Iberdrola Clientes Charging Station,"N/A LAS CARMELAS, N-634, 39560, Cantabria",43.374835,-4.502008
Iberdrola Charging Station,56A Poligono Vega Reinosa 39200 ES,42.994414899999995,-4.131486
EDP Charging Station,"Plaza Del Ayuntamiento, 1A, 39724 Solares, Cantabria",43.383,-3.739
EDP Charging Station,"Calle las Quebrantas, 13, 39140 Somo, Cantabria",43.45593299999999,-3.7428
Tesla,"CA-454, 39192 San Miguel de Meruelo, Cantabria",43.4529838,-3.5729635
Wenea Estación de carga,"N-634, 33569 Ribadesella, Asturias",43.4309674,-5.0625212999999984
Iberdrola Charging Station,"Retuerto Kalea, 55, 48903 Barakaldo, Bizkaia",43.287416,-3.007997
IBIL Charging Station,"Azkue Kalea, 1, 48902 Barakaldo, Bizkaia",43.290411999999996,-2.988979
Iberdrola Charging Station,"Erribera Etorbidea, 3, 48903 Barakaldo, Bizkaia",43.29184,-3.006589
Feníe Energía Charging Station,"Carrer de Cantàbria, 46, 07829 Sant Josep de sa Talaia, Illes Balears",38.962796000000004,1.293397
Estación Autobuses de Santander,"Plaza Estaciones, S/N, 39002 Santander, Cantabria",43.4593554,-3.8096996
RED Cantabria,"Carretera Nacional 635, km 10,200, 39792 Heras, Cantabria",43.396309,-3.787258
Estacion de Santander,"Plaza Estaciones, 1, 39002 Santander, Cantabria",43.459149,-3.811547
