business_status,formatted_address,icon,name,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,photos,permanently_closed
OPERATIONAL,"Arraiz Bidea, 116, 48002 Bilbo, Bizkaia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Wenea Estación de carga,ChIJc_PKfQNRTg0RdujcywX146Q,0.0,ChIJc_PKfQNRTg0RdujcywX146Q,"['point_of_interest', 'establishment']",0,43.2415141,-2.9604141,43.24287872989272,-2.959030620107278,43.24017907010727,-2.961730279892723,,62RQ+JR Bilbao,8CMV62RQ+JR,,
OPERATIONAL,"Minasoroeta Kalea, 4, 20280 Hondarribia, Gipuzkoa",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,IBIL Charging Station,ChIJi58ANKgJUQ0Ru1Od7sTNgNM,0.0,ChIJi58ANKgJUQ0Ru1Od7sTNgNM,"['point_of_interest', 'establishment']",0,43.361584,-1.793754,43.36290362989272,-1.792418020107278,43.36020397010728,-1.795117679892722,True,9664+JF Hondarribia,8CMW9664+JF,,
OPERATIONAL,"Lugar Arranomendia, 922, 20240, SS",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Charge and Parking Estación de carga,ChIJvSnED_g2UA0Rw8UhkOaI398,0.0,ChIJvSnED_g2UA0Rw8UhkOaI398,"['point_of_interest', 'establishment']",0,43.0465532,-2.1848857,43.04783687989272,-2.183509770107278,43.04513722010728,-2.186209429892723,,2RW8+J2 Lazcano,8CMV2RW8+J2,,
CLOSED_TEMPORARILY,"Av. la Constitución, 2A, 39700 Castro Urdiales, Cantabria",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Endesa Estación de carga,ChIJ_4Q1N7XzTg0R8JG05wWhsxI,1.0,ChIJ_4Q1N7XzTg0R8JG05wWhsxI,"['point_of_interest', 'establishment']",1,43.3823099,-3.2176,43.38379462989272,-3.216454020107278,43.38109497010727,-3.219153679892723,,9QJJ+WX Castro Urdiales,8CMR9QJJ+WX,,True
OPERATIONAL,"Gipuzkoa Etorb., 11 Musakola Auzoa Auzoa, 20500 Arrasate, Gipuzkoa",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,IBIL Charging Station,ChIJrQX8XuLVTw0R2DmunVBW1v4,0.0,ChIJrQX8XuLVTw0R2DmunVBW1v4,"['point_of_interest', 'establishment']",0,43.071915,-2.472951,43.07324352989272,-2.471573570107278,43.07054387010728,-2.474273229892722,True,3GCG+QR Mondragón,8CMV3GCG+QR,,
OPERATIONAL,"Leizaola Lehendakariaren Kalea, 5, 48011 Bilbo, Bizkaia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación Carga Vehículos,ChIJJ7Q-46ZRTg0RAZlGHH5X-WI,5.0,ChIJJ7Q-46ZRTg0RAZlGHH5X-WI,"['point_of_interest', 'establishment']",1,43.2671375,-2.9395814,43.26851097989272,-2.938222170107277,43.26581132010728,-2.940921829892722,,7386+V5 Bilbao,8CMV7386+V5,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101901546236960159306"">ruben fernandez</a>'], 'photo_reference': 'ATtYBwJZrc_GgXJnU6WNSxd3we8aWQsq7t8nbEJWvLIx5Sv3hAfy2VYeF_mnSg6WPtwqnuukPPQVOQOvhb290KZ_08z54an1SZ0tDIrgJfbi-A0f4MrliJbYuG40WwtvtQnOHiuD5dDlnBtaNMu9dudiaClHtP5L3ZGY5SL1ZbxJDNUFmIgA', 'width': 1920}]",
OPERATIONAL,"Azkue Kalea, 1, 48902 Barakaldo, Bizkaia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,IBIL Charging Station,ChIJm8ytYZ1QTg0RGhsvTD2cgr0,0.0,ChIJm8ytYZ1QTg0RGhsvTD2cgr0,"['point_of_interest', 'establishment']",0,43.290412,-2.988979,43.2929566,-2.9875076,43.2827782,-2.993393199999999,True,72R6+5C Baracaldo,8CMV72R6+5C,,
OPERATIONAL,"Abandoibarra Etorb., 4, 48001 Bilbo, Bizkaia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Clientes Charging Station,ChIJOSxbZCRQTg0R-DNXp4nMLrk,0.0,ChIJOSxbZCRQTg0R-DNXp4nMLrk,"['point_of_interest', 'establishment']",0,43.266743,-2.94465,43.26787032989273,-2.943398970107278,43.26517067010729,-2.946098629892723,True,7384+M4 Bilbao,8CMV7384+M4,,
OPERATIONAL,"Etxaniz Suhiltzailearen Plaza, 48010 Bilbo, Bizkaia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Electrolinera. Estacion de carga eléctrica coche,ChIJnzSQRJpRTg0RlmAkjLr4--c,1.0,ChIJnzSQRJpRTg0RlmAkjLr4--c,"['point_of_interest', 'establishment']",1,43.25862070000001,-2.940371,43.25996267989272,-2.938979320107278,43.25726302010728,-2.941678979892723,,7355+CV Bilbao,8CMV7355+CV,"[{'height': 5376, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103398732677516176964"">JoxeJ R</a>'], 'photo_reference': 'ATtYBwI3Ij6xzOtMJEkrVHQ_qyqWj7cdpCsFtcMb39cdWoXaqt9h8WXdCLfe2Qb1nrHBThXvHSwqKtk6iU9XYMGhDEDiLPWLHaHD2njA_-0q5_DJwecesK_67g13KImVJnwSc4zVjTHnxi85qcBd7RinMJ59pBePyFRsr_NlOeYO38ZQqpEM', 'width': 3024}]",
OPERATIONAL,"Iturriondo Kalea, 8, 48940 Leioa, Bizkaia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga eléctrica coches y motos,ChIJR5KVxUVaTg0Rf4ZB-DxsmMk,5.0,ChIJR5KVxUVaTg0Rf4ZB-DxsmMk,"['point_of_interest', 'establishment']",1,43.3176862,-2.9917118,43.31916182989272,-2.990213420107278,43.31646217010727,-2.992913079892722,True,8295+38 Lejona,8CMV8295+38,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107050221239390707588"">Jagoba Goikoetxea</a>'], 'photo_reference': 'ATtYBwLsBFsowtnIWJngYPOtig0kcVW-ID1Ox7WzWqHr5f61n2qzynMTE0AJ-fqjvDMx2ur7wGcqis80Pk84NWSiFvW0snTCYRhX8Aaqtr6tTUCI4fqrYVNzTdRF9mWLNbeyad6vGN3V3QZkYM4qzEDk_kceWED_zSZJxJmqLmRewDX89mkR', 'width': 1280}]",
OPERATIONAL,"Arriquíbar Plaza, 4, 48010 Bilbo, Bizkaia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,IBIL Charging Station,ChIJPzkaJdZPTg0RcZUk9PvWn68,0.0,ChIJPzkaJdZPTg0RcZUk9PvWn68,"['point_of_interest', 'establishment']",0,43.25976,-2.937051,43.26132907989273,-2.935600770107277,43.25862942010728,-2.938300429892722,True,7357+W5 Bilbao,8CMV7357+W5,,
OPERATIONAL,"Araba Kalea, 43b, 20800 Zarautz, Gipuzkoa",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,IBIL Charging Station,ChIJ-ZUcbTjIUQ0RrKXB0x8ON4M,0.0,ChIJ-ZUcbTjIUQ0RrKXB0x8ON4M,"['point_of_interest', 'establishment']",0,43.281403,-2.16392,43.28275547989271,-2.162554520107278,43.28005582010727,-2.165254179892723,True,7RJP+HC Zarauz,8CMV7RJP+HC,,
OPERATIONAL,"5BIS, Maria Diaz de Haro Kalea, 48920 Portugalete",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,IBIL Charging Station,ChIJU0GLP4dZTg0RM0zke8DkeQA,0.0,ChIJU0GLP4dZTg0RM0zke8DkeQA,"['point_of_interest', 'establishment']",0,43.32241,-3.018838,43.32385217989272,-3.017589470107278,43.32115252010728,-3.020289129892722,True,8XCJ+XF Portugalete,8CMR8XCJ+XF,,
OPERATIONAL,"Albert Einstein Kalea, 25, 01510 Gasteiz, Araba",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,IBIL Charging Station,ChIJJ-32enjETw0RLcWUpvFDBMM,0.0,ChIJJ-32enjETw0RLcWUpvFDBMM,"['point_of_interest', 'establishment']",0,42.9112354,-2.6666336,42.91255657989272,-2.665269070107278,42.90985692010728,-2.667968729892723,True,W86M+F8 Vitoria-Gasteiz,8CJVW86M+F8,,
